Source,Target,Type,Id,Label,Weight
1.0,7.0,Undirected,0,234  306    0    0,1.0
2.0,7.0,Undirected,1,359  486    0  119,1.0
3.0,6.0,Undirected,2,192  225    0    0,1.0
4.0,6.0,Undirected,3,265  315    0    0,1.0
5.0,8.0,Undirected,4,562  614    0    0,1.0
6.0,8.0,Undirected,5,330  430    0    0,1.0
7.0,14.0,Undirected,6,292  390    0    0,1.0
8.0,13.0,Undirected,7,254  352    0    0,1.0
8.0,15.0,Undirected,8,296  449    1  106,1.0
9.0,11.0,Undirected,9,272  332    0    0,1.0
10.0,11.0,Undirected,10,359  467    0    0,1.0
11.0,13.0,Undirected,11,259  305    0    0,1.0
11.0,42.0,Undirected,12,300  384    0    0,1.0
12.0,17.0,Undirected,13,181  215    0    0,1.0
12.0,25.0,Undirected,14,325  375    0    0,1.0
12.0,28.0,Undirected,15,444  506    0    0,1.0
12.0,30.0,Undirected,16,334  399    0    0,1.0
12.0,42.0,Undirected,17,383  451    0    0,1.0
13.0,16.0,Undirected,18,226  298    0    0,1.0
13.0,42.0,Undirected,19,295  395    0    0,1.0
14.0,15.0,Undirected,20,436  536    0    0,1.0
14.0,16.0,Undirected,21,184  248    0    0,1.0
14.0,17.0,Undirected,22,295  347    0    0,1.0
14.0,31.0,Undirected,23,252  322    0    0,1.0
15.0,17.0,Undirected,24,458  584    0    0,1.0
16.0,17.0,Undirected,25,209  265    0    0,1.0
17.0,18.0,Undirected,26,148  192    0    0,1.0
17.0,30.0,Undirected,27,300  379    0    0,1.0
18.0,19.0,Undirected,28,234  301    0    0,1.0
18.0,31.0,Undirected,29,133  165    0    0,1.0
19.0,20.0,Undirected,30,246  277    0    0,1.0
19.0,21.0,Undirected,31,402  460    0    0,1.0
19.0,32.0,Undirected,32,234  303    0    0,1.0
20.0,21.0,Undirected,33,155  185    0    0,1.0
20.0,30.0,Undirected,34,362  413    0    0,1.0
21.0,22.0,Undirected,35,230  282    0    0,1.0
22.0,23.0,Undirected,36,383  457    0    0,1.0
24.0,25.0,Undirected,37,278  338    0    0,1.0
24.0,26.0,Undirected,38,429  481    0    0,1.0
24.0,30.0,Undirected,39,277  329    0    0,1.0
25.0,27.0,Undirected,40,390  451    0    0,1.0
27.0,29.0,Undirected,41,481  540    0    0,1.0
31.0,32.0,Undirected,42,341  387    0    0,1.0
31.0,33.0,Undirected,43,167  225    0    0,1.0
32.0,34.0,Undirected,44,251  308    0    0,1.0
32.0,37.0,Undirected,45,259  351    0    0,1.0
33.0,37.0,Undirected,46,359  436    0    0,1.0
34.0,35.0,Undirected,47,413  479    0    0,1.0
34.0,36.0,Undirected,48,349  404    0    0,1.0
37.0,38.0,Undirected,49,363  416    0    0,1.0
37.0,39.0,Undirected,50,371  504    3   91,1.0
38.0,40.0,Undirected,51,531  593    0    0,1.0
38.0,41.0,Undirected,52,313  340    0    0,1.0
