Source,Target,Type,Id,Label,Weight
1.0,7.0,Undirected,0,1448  3902     0    94,1.0
2.0,7.0,Undirected,1,1809  5376     0    95,1.0
3.0,6.0,Undirected,2,3052  6134     0    61,1.0
4.0,6.0,Undirected,3,2995  6677     0   113,1.0
5.0,8.0,Undirected,4,1640  4816     0   111,1.0
6.0,8.0,Undirected,5,1922  4987     3    45,1.0
7.0,14.0,Undirected,6,1793  4973     4    63,1.0
8.0,13.0,Undirected,7,1238  3937     8    43,1.0
8.0,15.0,Undirected,8,1474  3826     8    47,1.0
9.0,11.0,Undirected,9,1580  6144     2   141,1.0
10.0,11.0,Undirected,10,1218  5369     0   243,1.0
11.0,13.0,Undirected,11,1280  4719     5    43,1.0
11.0,42.0,Undirected,12,1143  4865    37   158,1.0
12.0,17.0,Undirected,13,1244  4103     5    30,1.0
12.0,25.0,Undirected,14,1290  4417    10    61,1.0
12.0,28.0,Undirected,15,1416  5090    21    59,1.0
12.0,30.0,Undirected,16,1120  3897     6    18,1.0
12.0,42.0,Undirected,17,1078  3997     9    28,1.0
13.0,16.0,Undirected,18,1339  4495    10    39,1.0
13.0,42.0,Undirected,19,966  3718     3    24,1.0
14.0,15.0,Undirected,20,1399  4068    11    59,1.0
14.0,16.0,Undirected,21,1180  3490    12    62,1.0
14.0,17.0,Undirected,22,914  2963     2    33,1.0
14.0,31.0,Undirected,23,1126  3298     8    39,1.0
15.0,17.0,Undirected,24,965  3064     5    27,1.0
16.0,17.0,Undirected,25,1177  3699     8    50,1.0
17.0,18.0,Undirected,26,1110  3615     0    27,1.0
17.0,30.0,Undirected,27,991  3827    15    33,1.0
18.0,19.0,Undirected,28,1204  3856     2    38,1.0
18.0,31.0,Undirected,29,984  3222    10    39,1.0
19.0,20.0,Undirected,30,881  3511    17   108,1.0
19.0,21.0,Undirected,31,1296  4457    12   116,1.0
19.0,32.0,Undirected,32,1411  4066     4    37,1.0
20.0,21.0,Undirected,33,1312  5203    15   179,1.0
20.0,30.0,Undirected,34,1027  3679     3    36,1.0
21.0,22.0,Undirected,35,1774  5910     4    85,1.0
22.0,23.0,Undirected,36,1636  5135    17   140,1.0
24.0,25.0,Undirected,37,1495  4973     6    63,1.0
24.0,26.0,Undirected,38,1631  5287    14    42,1.0
24.0,30.0,Undirected,39,1287  4096     8    46,1.0
25.0,27.0,Undirected,40,2071  6692    34   116,1.0
27.0,29.0,Undirected,41,2082  6105     5   125,1.0
31.0,32.0,Undirected,42,1357  4176    11    51,1.0
31.0,33.0,Undirected,43,1333  4314    14    54,1.0
32.0,34.0,Undirected,44,2103  5521    18    65,1.0
32.0,37.0,Undirected,45,1487  4376     9    36,1.0
33.0,37.0,Undirected,46,1471  4847    11   141,1.0
34.0,35.0,Undirected,47,2504  6471    35   124,1.0
34.0,36.0,Undirected,48,2582  6899    12    62,1.0
37.0,38.0,Undirected,49,2300  5882    11    59,1.0
37.0,39.0,Undirected,50,2135  6079    28   221,1.0
38.0,40.0,Undirected,51,1991  5545    16    76,1.0
38.0,41.0,Undirected,52,2485  6186    17   111,1.0
