Source,Target,Type,Id,Label,Weight
1.0,7.0,Undirected,0,150  195    0    0,1.0
2.0,7.0,Undirected,1,369  425    0    0,1.0
3.0,6.0,Undirected,2,522  638    0    0,1.0
4.0,6.0,Undirected,3,439  537    0    0,1.0
5.0,8.0,Undirected,4,357  401    0    0,1.0
6.0,8.0,Undirected,5,497  575    0    0,1.0
7.0,14.0,Undirected,6,198  246    0    0,1.0
8.0,13.0,Undirected,7,251  290    0    0,1.0
8.0,15.0,Undirected,8,275  329    0    0,1.0
9.0,11.0,Undirected,9,504  580    0    0,1.0
10.0,11.0,Undirected,10,384  457    0    0,1.0
11.0,13.0,Undirected,11,260  309    0    0,1.0
11.0,42.0,Undirected,12,335  384    0    0,1.0
12.0,17.0,Undirected,13,287  342    0    0,1.0
12.0,25.0,Undirected,14,209  264    0    0,1.0
12.0,28.0,Undirected,15,278  311    0    0,1.0
12.0,30.0,Undirected,16,278  321    0    0,1.0
12.0,42.0,Undirected,17,55  69   0   0,1.0
13.0,16.0,Undirected,18,214  258    0    0,1.0
13.0,42.0,Undirected,19,274  315    0    0,1.0
14.0,15.0,Undirected,20,238  329    0    0,1.0
14.0,16.0,Undirected,21,241  290    0    0,1.0
14.0,17.0,Undirected,22,222  283    0    0,1.0
14.0,31.0,Undirected,23,289  397    0    0,1.0
15.0,17.0,Undirected,24,321  395    0    0,1.0
16.0,17.0,Undirected,25,156  181    0    0,1.0
17.0,18.0,Undirected,26,154  198    0    0,1.0
17.0,30.0,Undirected,27,101  146    0    0,1.0
18.0,19.0,Undirected,28,180  254    0    0,1.0
18.0,31.0,Undirected,29,192  273    0    0,1.0
19.0,20.0,Undirected,30,388  442    0    0,1.0
19.0,21.0,Undirected,31,433  502    0    0,1.0
19.0,32.0,Undirected,32,361  499    0    0,1.0
20.0,21.0,Undirected,33,249  294    0    0,1.0
20.0,30.0,Undirected,34,230  288    0    0,1.0
21.0,22.0,Undirected,35,331  382    0    0,1.0
22.0,23.0,Undirected,36,571  632    0    0,1.0
24.0,25.0,Undirected,37,458  592    0    0,1.0
24.0,26.0,Undirected,38,400  517    0    0,1.0
24.0,30.0,Undirected,39,378  462    0    0,1.0
25.0,27.0,Undirected,40,227  345    0    0,1.0
27.0,29.0,Undirected,41,437  813    4  335,1.0
31.0,32.0,Undirected,42,220  307    0    0,1.0
31.0,33.0,Undirected,43,163  290    1   78,1.0
32.0,34.0,Undirected,44,362  470    0    0,1.0
32.0,37.0,Undirected,45,273  533    4  236,1.0
33.0,37.0,Undirected,46,183  423    0    0,1.0
34.0,35.0,Undirected,47,232  286    0    0,1.0
34.0,36.0,Undirected,48,357  430    0    0,1.0
37.0,38.0,Undirected,49,212  321    0    0,1.0
37.0,39.0,Undirected,50,329  466    0    0,1.0
38.0,40.0,Undirected,51,313  390    0    0,1.0
38.0,41.0,Undirected,52,162  327    3  153,1.0
